References,Qty,Description,Manufacturer,MPN,LCSC,Mouser,BuyDisplays
BAT1,1,12mm battery holder,Harwin,S8201-46R,,855-S8201-46R,
"C1, C5, C7, C8, C9, C10, C11, C13, C14, C21, C22, C23, C24, C25, C26, C27",16,"100nF -20%,+80% 16V Y5V 0603 MLCC",Walsin Tech Corp,0603F104Z160CT,C387984,,
"C2, C3, C4, C6",4,18pF ±5% 50V C0G 0603 MLCC ,Samsung Electro-Mechanics,CL10C180JB8NNNC,C1647,,
"C12, C19, C20",3,2.2uF ±10% 16V X5R 0603 MLCC ,CCTC,TCC0603X5R225K160CT,C380320,,
"C15, C16",2,10uF ±10% 10V X5R 0805 MLCC,Samsung Electro-Mechanics,CL21A106KPFNNNE,C17024,,
"C17, C18",2,1uF ±5% 16V X5R 0603 MLCC,Walsin Tech Corp,0603X105J160CT,C458913,,
"D1, D2",2,10V 3A 370mV @ 1A SOD-323-2 Schottky Barrier Diodes ,Infineon Technologies,BAT60AE6327HTSA1,C513277,,
F1,1,30V 500mA 1206 PTC Resettable Fuses,TECHFUSE,nSMD025-30V,C70070,,
J1,1,Pin Header Male Pin 2.54mm 2x1 Through Hole,JST Sales America,RE-H022TD-1190(LF)(SN),C160332,,
J2,1,10118193-0001LF,Amphenol FCI,10118193-0001LF,C132562,,
J3,1,SMD Card Sockets Connectors RoHS,THD,THD2528-11SD-GF,C283232,,
J4,1,Pin Header Male Pin 2.54mm 8x1 Through Hole,Ckmtw(Shenzhen Cankemeng),C124381,C124381,,
"J5, J6",2,Pin Header Male Pin 2.54mm 20x2 Through Hole,Ckmtw(Shenzhen Cankemeng),C124383,C124383,,
"L1, L2",2,0805 Ferrite Beads ,TDK,MMZ2012Y300BTD25,C501999,,
"LED0, LED1, LED2, LED3, LED6",5,Red 619~625nm 0603 Light Emitting Diodes,ARKLED(Wuxi ARK Tech Elec),D-060306R1/SS2/L,C118330,,
"LED4, LED5, LED10, LED11, LED12, LED13, LED14",7,Yellow 587~595nm 0603 Light Emitting Diodes ,EKINGLUX,E6C0603UYAC1UDA,C375445,,
"LED7, LED8",2,Green 520~535nm 0603 Light Emitting Diodes,Orient,ORH-G36G,C205443,,
"R1, R3, R4, R6, R9, R19, R21, R33, R34, R35",10,10k,FH(Guangdong Fenghua Advanced Tech),RS-03K103JT,C73809,,
"R2, R5, R7, R8, R10, R13, R14, R15, R16, R17, R18, R20, R22, R23, R25, R26, R27, R30, R31",19,"	
1K ±5% 1/10W ±100ppm/°C 0603 Chip Resistor",UNI-ROYAL(Uniroyal Elec),0603WAJ0102T5E,C25585,,
"R11, R12",2,100 ±5% 1/10W ±100ppm/°C 0603 Chip Resistor,Walsin Tech Corp,WR06X101JTL,C163845,,
R24,1,402K ±1% 1/10W ±100ppm/°C 0603 Chip Resistor,RALEC,RTT034023FTP,C103619,,
"R28, R29",2,4.7K ±5% 1/10W ±100ppm/°C 0603 Chip Resistor ,FH(Guangdong Fenghua Advanced Tech),RS-03K472JT,C88615,,
R32,1,22 ±5% 1/10W ±100ppm/°C 0603 Chip Resistor,FH(Guangdong Fenghua Advanced Tech),RS-03K220JT,C96423,,
"RESET1, SW0, SW1, SW2, SW3",5,SPST-NO Top Actuated Standard 6*6*5mm Tactile Switches,SOFNG,TS-1102-5016,C111609,,
U1,1,LPC4078,NXP-Philips,"LPC4078FBD80,551",,771-LPC4078FBD80551,
U2,1,Fixed 6V 3.3V 600mA SOT-25 LDO,Diodes Incorporated,AP2112K-3.3TRG1,C51118,,
U3,1,CP2102n,Silicon Lab,CP2102N-A01-GQFN28R,C428937,,
U4,1,"0.96"" OLED Displays Modules",Shenzhen Allvision Tech,QG-2864KSWEG01,C85007,,ER-OLED0.96-1W
U5,1,Si7060 temperature sensor,Silicon Labs,SI7060-B-02-IVR,,634-SI7060-B-02-IVR,
U6,1,MMA8452QR1 Acclerometer,NXP Semicon,MMA8452QR1,C11360,,
U7,1,ESP-01S,Ai-Thinker,ESP-01S,C503582,,
U8,1,AT25SF041 Flash Memory,Atmel,AT25SF041-SSHD-T,C161759,,
U9,1,APDS-9960 Gesture sensor,Avago,APDS-9960,C93222,630-APDS-9960,
Y1,1,32.768KHz Crystal,IQD,XNMCZLNDED-32.768KHZ,C124333,,
Y2,1,12MHz Crystal,Yangxing Tech,X49SD12MSD2SC,C16369,,