RefDes,Name,Pattern,X (mil),Y (mil),Side,Rotate,Value
BAT1,S8201-46R,Battery-Holder-12mm,697.5,2340.6,Top,180,
C1,CAP_0603,CAP_0603,1403.1,860.3,Top,270,100nF
C2,CAP_0603,CAP_0603,1356.1,1183.6,Top,90,18pF
C3,CAP_0603,CAP_0603,1103.9,1181.4,Top,90,18pF
C4,CAP_0603,CAP_0603,1334.4,861.6,Top,90,18pF
C5,CAP_0603,CAP_0603,1421.7,1183.6,Top,90,100nF
C6,CAP_0603,CAP_0603,1334.4,710.3,Top,270,18pF
C7,CAP_0603,CAP_0603,1578.9,1368.9,Top,180,100nF
C8,CAP_0603,CAP_0603,1596.1,637.6,Top,0,100nF
C9,CAP_0603,CAP_0603,2137.5,758.5,Top,90,100nF
C10,CAP_0603,CAP_0603,1822.6,618.9,Top,180,100nF
C11,CAP_0603,CAP_0603,2187.3,1133.6,Top,90,100nF
C12,CAP_0603,CAP_0805,762.5,1887.6,Top,270,2u2F
C13,CAP_0603,CAP_0603,1845.8,1356.4,Top,0,100nF
C14,CAP_0603,CAP_0603,668.8,1883.5,Top,270,100nF
C15,CAP_0805,CAP_0805,859.3,1884.3,Top,270,10uF
C16,CAP_0805,CAP_0805,959.3,1884.3,Top,270,10uF
C17,CAP_0603,CAP_0603,389.1,343.5,Top,0,1uF
C18,CAP_0603,CAP_0603,517.8,343.5,Top,0,1uF
C19,CAP_0603,CAP_0603,775.4,343.5,Top,0,2u2F
C20,CAP_0603,CAP_0603,904.1,343.5,Top,0,2u2F
C21,CAP_0603,CAP_0603,1768.6,2158.5,Top,90,100nF
C22,CAP_0603,CAP_0603,389.5,286.8,Top,180,100nF
C23,CAP_0603,CAP_0603,1006.2,316.5,Top,90,100nF
C24,CAP_0603,CAP_0603,904.1,287.3,Top,180,100nF
C25,CAP_0603,CAP_0603,1418.6,1597.9,Top,270,100nF
C26,CAP_0603,CAP_0603,775.5,287.5,Top,0,100nF
C27,CAP_0603,CAP_0603,646.9,287.5,Top,0,100nF
D1,BAT60AE6327HTSA1,SOD-323,239,2075,Top,180,200mV/3A
D2,BAT60AE6327HTSA1,SOD-323,239,1975.1,Top,180,200mV/3A
F1,0ZCJ0050AF2E,PTC-1206,243.7,2230.2,Top,90,1A
J1,HDR-1x2,HDR-1x2,90.6,2128.2,Top,90,VIN
J2,USB Micro B,FCI_10118193-0001LF,55.2,1756.3,Top,270,10118193-0001LF
J3,503182-1852,503182-0852,1415.8,2176.9,Top,0,Mirco SD Card Slot
J4,M08LOCK,1X08_LOCK,75,1338.7,Top,0,
J5,M20-9992046,HDR-1x20,2450,1243.7,Top,90,HDR-1x20
J6,M20-9992046,HDR-1x20,2550,1243.7,Top,90,HDR-1x20
L1,IND_0805,0805,1378.3,991.8,Top,90,MMZ2012Y300B
L2,IND_0805,0805,1768.6,1979.2,Top,90,MMZ2012Y300B
LED4,LED_0603,DIO_0603,745.9,1528.2,Top,0,YELLOW
LED5,LED_0603,DIO_0603,605.3,1528.2,Top,0,YELLOW
LED6,LED_0603,DIO_0603,983.7,1689.8,Top,0,RED
LED7,LED_0603,DIO_0603,464.7,1528.2,Top,0,GREEN
LED8,LED_0603,DIO_0603,320.9,1528.2,Top,0,GREEN
LED0,LED_0603,DIO_0603,2245.5,437.5,Top,0,RED
LED1,LED_0603,DIO_0603,1918.4,425,Top,0,RED
LED2,LED_0603,DIO_0603,1585.1,425,Top,0,RED
LED3,LED_0603,DIO_0603,1251.7,425,Top,0,RED
LED10,LED_0603,DIO_0603,1345.6,1737.7,Top,0,YELLOW
LED11,LED_0603,DIO_0603,1151.9,1737.7,Top,0,YELLOW
LED12,LED_0603,DIO_0603,2014.5,1856.3,Top,0,YELLOW
LED13,LED_0603,DIO_0603,2408,2315.6,Top,0,YELLOW
LED14,LED_0603,DIO_0603,2408,2390.6,Top,0,YELLOW
R1,RES_0603,RES_0603,1237.5,1485.3,Top,270,10k
R2,RES_0603,RES_0603,979.1,1775.2,Top,0,470
R3,RES_0603,RES_0603,964.6,1281.4,Top,0,10k
R4,RES_0603,RES_0603,139.7,1437.6,Top,0,10k
R5,RES_0603,RES_0603,1493.9,1758.6,Top,90,1k
R6,RES_0603,RES_0603,2074.8,666.9,Top,270,10k
R7,RES_0603,RES_0603,461.5,1609.5,Top,0,1k
R8,RES_0603,RES_0603,317.8,1609.5,Top,0,1k
R9,RES_0603,RES_0603,543.7,1982.2,Top,0,10k
R10,RES_0603,RES_0603,739.6,1609.5,Top,0,470
R11,RES_0603,RES_0603,2018.5,666.7,Top,270,100
R12,RES_0603,RES_0603,1168.8,1485.3,Top,270,100
R13,RES_0603,RES_0603,602.2,1609.5,Top,0,470
R14,RES_0603,RES_0603,2235.3,493.7,Top,180,470
R15,RES_0603,RES_0603,1912.3,481.2,Top,180,470
R16,RES_0603,RES_0603,1585.3,481.2,Top,180,470
R17,RES_0603,RES_0603,1253.9,481.2,Top,180,470
R18,RES_0603,RES_0603,1341.5,1793.8,Top,0,470
R19,RES_0603,RES_0603,1243.7,1758.5,Top,90,10k
R20,RES_0603,RES_0603,1146,1793.8,Top,0,470
R21,RES_0603,RES_0603,1549.8,1758.5,Top,90,10k
R22,RES_0603,RES_0603,2012.3,1910.3,Top,0,470
R23,RES_0603,RES_0603,1071.1,312.5,Top,270,1k
R24,RES_0603,RES_0603,646.6,343.5,Top,180,402k
R25,RES_0603,RES_0603,1414.9,312.5,Top,270,1k
R26,RES_0603,RES_0603,1748,293.8,Top,270,1k
R27,RES_0603,RES_0603,2081.5,297.8,Top,270,1k
R28,RES_0603,RES_0603,1477.4,662.3,Top,270,4k7
R29,RES_0603,RES_0603,1421.1,662.3,Top,270,4k7
R30,RES_0603,RES_0603,2258.2,2318.8,Top,0,470
R31,RES_0603,RES_0603,2256,2391.5,Top,0,470
R32,RES_0603,RES_0603,518.3,287.5,Top,0,22
R33,RES_0603,RES_0603,1862.5,1872.8,Top,90,10k
RESET1,FSM4JH,TACTILE-PTH,982.7,1490.5,Top,90,TAC_SWITCHPTH
SW3,FSM4JH,TACTILE-PTH,1245.2,209.2,Top,90,TAC_SWITCHPTH
SW2,FSM4JH,TACTILE-PTH,1580.7,209.2,Top,90,TAC_SWITCHPTH
SW1,FSM4JH,TACTILE-PTH,1916.1,209.2,Top,90,TAC_SWITCHPTH
SW0,FSM4JH,TACTILE-PTH,2251.5,209.2,Top,90,TAC_SWITCHPTH
U1,LPC4078FBD80,QFP-80/14x14x0.5,1764.8,981.7,Top,0,LPC4078
U2,AP2112K-3.3TRG1,SOT23-5,362.6,2080.1,Top,180,3.3V
U3,CP2102N-A01-GQFN28,QFN-28/5x5x0.5,446.6,1801.6,Top,0,
U4,SSD1306,ER-OLED0.96-1W-Rev3,549.6,793.8,Top,0,
U5,Si7060,SOT23-5,337.4,115.9,Top,90,
U6,MMA8452Q,PRQFN-16RNP/3x3x0.5,866.9,150.8,Top,270,MMA8452Q
U7,WIFI-ESP-8266,WIRELESS-WIFI-ESP-01,1987.3,1981.3,Top,270,WIFI-ESP-8266
U8,AT25DN256,SOIC-8/150mil,2006.1,2062.5,Top,0,256Kb
U9,APDS-9960,APDS-9960,636.2,118.2,Top,0,
Y1,LFXTAL003000Reel,85SMX,1224.4,1180.3,Top,180,32.768KHz
Y2,HC49S,HC-49U,1190.6,751.3,Top,90,16MHz
R34,RES_0603,RES_0603,1068.6,140,Top,270,10k
R35,RES_0603,RES_0603,1412.4,141.8,Top,270,10k
